band	Species	sex	Time period	year	Early v Late	weight	wing	tarsus	bill length	bill depth	bill width	PC1 body	PC1 beak	PC2 beak
2639	fortis	male	1	1981	Early	15.84	67.13	19.55	10.3	8.95	8.32	-0.276195942	-0.562614721	-0.559996007
2743	fortis	male	1	1981	Early	19.25	72.38	19.38	12.1	10.85	10.13	1.360187789	3.103451954	-1.217390199
3527	fortis	male	1	1981	Early	17.27	71.12	19.6	11.79	10.33	9.59	0.792701214	2.11030042	-0.915424073
4190	fortis	female	1	1981	Early	15.78	66.62	19.1	11.04	9.93	8.94	-0.613595916	0.97630834	-0.849960947
4378	fortis	male	1	1981	Early	17.62	68.78	19.1	10.64	9.66	8.76	0.196324325	0.48714296	-0.873339606
4677	fortis	male	1	1981	Early	17.45	69.35	19.89	11.02	10.17	9.67	0.667075465	1.844252996	-1.312902679
2862	fortis	male	1	1982	Early	18.6	67.5	19.95	11.15	9.5	8.9	0.631575429	0.646530697	-0.596873191
4843	fortis	female	1	1982	Early	17.97	68	18.93	11.17	9.6	8.83	0.049498499	0.661043408	-0.592095186
4859	fortis	male	1	1982	Early	15.7	67.67	18.7	10.87	8.73	8.17	-0.650603938	-0.706456535	-0.085260846
4911	fortis	male	1	1982	Early	18.53	70.3	19.67	11	9.7	8.73	0.972004041	0.592376186	-0.677089622
4936	fortis	male	1	1982	Early	15.3	66.5	19	10	9.05	7.7	-0.797141548	-1.162465776	-0.463321148
4946	fortis	male	1	1982	Early	19.8	69.25	19.25	11.42	10.27	10	0.85947128	2.347969859	-1.294056909
5060	fortis	male	1	1982	Early	18.4	70	19.7	11.8	10.3	9.4	0.903892334	1.910199025	-0.805374987
4899	fortis	male	1	1983	Early	18.17	68	18.37	10.87	9.7	9.03	-0.193598405	0.839816803	-0.894512195
5826	fortis	female	1	1983	Early	13.9	66.5	18.6	10.55	9.2	8.85	-1.325776373	0.200666463	-0.781305965
5927	fortis	male	1	1983	Early	16.85	71	19.3	10.7	9.2	8.57	0.519705673	-0.022026084	-0.562630669
5963	fortis	male	1	1983	Early	19.9	67	20	11	10	8.8	0.867023961	0.884514397	-0.831990888
5370	fortis	male	1	1984	Early	17.77	70.06	19.2	12.73	10.88	9.79	0.51153597	2.984527402	-0.71791623
5505	fortis	male	1	1984	Early	17.2	68.5	19.15	11.4	9.8	8.6	0.075391614	0.659303723	-0.434363047
5626	fortis	female	1	1984	Early	17.96	69.11	19.16	11.1	8.89	8.23	0.364588386	-0.462918406	-0.052559961
5627	fortis	female	1	1984	Early	14.62	65.81	19.05	10.74	8.03	7.86	-1.051271562	-1.56480051	0.276144375
5635	fortis	female	1	1984	Early	16.05	68.34	19.41	11.51	9.45	8.3	-0.083612557	0.142823895	-0.086955953
5721	fortis	female	1	1984	Early	16.2	65.5	18.95	11.1	8.9	8.5	-0.794836906	-0.199019721	-0.187996007
5731	fortis	male	1	1984	Early	16.3	70	19	10.8	10.3	8.9	0.059312477	1.147566581	-1.111359775
5789	fortis	male	1	1984	Early	18.98	71.15	19.62	11.28	10.12	9.41	1.201847465	1.634604335	-1.023395906
5860	fortis	male	1	1984	Early	17.59	67.84	19.79	11.55	10.05	9.15	0.377428435	1.412789604	-0.720340302
5887	fortis	female	1	1984	Early	14.9	65.15	18.17	10.18	8.4	8.08	-1.559284323	-1.238777005	-0.287582494
5905	fortis	female	1	1984	Early	15.28	65.06	18.58	11.86	10.43	9.64	-1.276283866	2.253151244	-0.941583082
